author|title|text
王維|鹿柴|空山不見人，但聞人語響。<br>返景入深林，復照青苔上。
王維|竹里館|獨坐幽篁裡，彈琴復長嘯。<br>深林人不知，明月來相照。
王維|送別|山中相送罷，日暮掩柴扉。<br>春草明年綠，王孫歸不歸。
王維|相思|紅豆生南國，春來發幾枝。<br>願君多采擷，此物最相思。
王維|雜詩|君自故鄉來，應知故鄉事。<br>來日綺窗前，寒梅著花未。
裴迪|送崔九|歸山深淺去，須盡丘壑美。<br>莫學武陵人，暫遊桃源裡。
祖詠|終南望餘雪|終南陰嶺秀，積雪浮雲端。<br>林表明霽色，城中增暮寒。
孟浩然|宿建德江|移舟泊煙渚，日暮客愁新。<br>野曠天低樹，江清月近人。
孟浩然|春曉|春眠不覺曉，處處聞啼鳥。<br>夜來風雨聲，花落知多少。
李白|夜思|床前明月光，疑是地上霜。<br>舉頭望明月，低頭思故鄉。
李白|怨情|美人捲珠簾，深坐蹙蛾眉。<br>但見淚痕濕，不知心恨誰。
杜甫|八陣圖|功蓋三分國，名成八陣圖。<br>江流石不轉，遺恨失吞吳。
王之渙|登鸛雀樓|白日依山盡，黃河入海流。<br>欲窮千里目，更上一層樓。
劉長卿|送靈澈|蒼蒼竹林寺，杳杳鐘聲晚。<br>荷笠帶斜陽，青山獨歸遠。
劉長卿|彈琴|泠泠七絃上，靜聽松風寒。<br>古調雖自愛，今人多不彈。
劉長卿|送上人|孤雲將野鶴，豈向人間住。<br>莫買沃洲山，時人已知處。
韋應物|秋夜寄邱員外|懷君屬秋夜，散步詠涼天。<br>空山松子落，幽人應未眠。
李端|聽箏|鳴箏金粟柱，素手玉房前。<br>欲得周郎顧，時時誤拂絃。
王建|新嫁娘|三日入廚下，洗手作羹湯。<br>未諳姑食性，先遣小姑嘗。
權德輿|玉臺體|昨夜裙帶解，今朝蟢子飛。<br>鉛華不可棄，莫是□砧歸。
柳宗元|江雪|千山鳥飛絕，萬徑人蹤滅。<br>孤舟簑笠翁，獨釣寒江雪。
元稹|行宮|寥落古行宮，宮花寂寞紅。<br>白頭宮女在，閒坐說玄宗。
白居易|問劉十九|綠螘新醅酒，紅泥小火爐。<br>晚來天欲雪，能飲一杯無。
張祜|何滿子|故國三千里，深宮二十年。<br>一聲何滿子，雙淚落君前。
李商隱|登樂遊原|向晚意不適，驅車登古原。<br>夕陽無限好，只是近黃昏。
賈島|尋隱者不遇|松下問童子，言師採藥去。<br>只在此山中，雲深不知處。
李頻|渡漢江|嶺外音書絕，經冬復立春。<br>近鄉情更怯，不敢問來人。
金昌緒|春怨|打起黃鶯兒，莫教枝上啼。<br>啼時驚妾夢，不得到遼西。
西鄙人|哥舒歌|北斗七星高，哥舒夜帶刀。<br>至今窺牧馬，不敢過臨洮。
